Date,Type,Name,Start,End,Duration
7/8/14,place,Place in Darmstadt,2014-07-08T00:35:21+02:00,2014-07-08T08:28:13+02:00,28372
7/8/14,move,walking,2014-07-08T08:28:13+02:00,2014-07-08T08:34:14+02:00,361
7/8/14,place,Place in Darmstadt,2014-07-08T08:34:14+02:00,2014-07-08T08:40:18+02:00,364
7/8/14,move,transport,2014-07-08T08:40:18+02:00,2014-07-08T08:42:19+02:00,121
7/8/14,move,walking,2014-07-08T08:42:19+02:00,2014-07-08T08:49:59+02:00,460
7/8/14,place,Place in TU Darmstadt / S1,2014-07-08T08:49:58+02:00,2014-07-08T12:47:14+02:00,14236
7/8/14,move,walking,2014-07-08T12:47:14+02:00,2014-07-08T12:51:46+02:00,272
7/8/14,move,transport,2014-07-08T12:51:46+02:00,2014-07-08T12:58:44+02:00,418
7/8/14,move,walking,2014-07-08T12:58:44+02:00,2014-07-08T13:04:21+02:00,337
7/8/14,place,Place in Darmstadt,2014-07-08T13:04:20+02:00,2014-07-08T19:32:27+02:00,23287
7/8/14,move,walking,2014-07-08T19:32:27+02:00,2014-07-08T19:36:34+02:00,247
7/8/14,place,Place in Darmstadt,2014-07-08T19:36:34+02:00,2014-07-08T19:41:11+02:00,277
7/8/14,move,walking,2014-07-08T19:41:11+02:00,2014-07-08T19:44:44+02:00,213
7/8/14,place,Place in Darmstadt,2014-07-08T19:44:45+02:00,2014-07-08T22:01:19+02:00,8194
7/8/14,move,walking,2014-07-08T22:01:19+02:00,2014-07-08T22:06:05+02:00,286
7/8/14,place,Place in Darmstadt,2014-07-08T22:06:05+02:00,2014-07-08T23:53:06+02:00,6421
7/8/14,move,walking,2014-07-08T23:53:06+02:00,2014-07-08T23:57:02+02:00,236
7/8/14,place,Place in Darmstadt,2014-07-08T23:57:02+02:00,2014-07-09T00:00:00+02:00,178
7/9/14,place,Place in Darmstadt,2014-07-09T00:00:00+02:00,2014-07-09T09:27:55+02:00,34075
7/9/14,move,walking,2014-07-09T09:27:55+02:00,2014-07-09T09:35:09+02:00,434
7/9/14,place,Place in Darmstadt,2014-07-09T09:35:10+02:00,2014-07-09T09:39:17+02:00,247
7/9/14,move,walking,2014-07-09T09:39:17+02:00,2014-07-09T09:48:19+02:00,542
7/9/14,place,Place in TU Darmstadt / S2,2014-07-09T09:48:20+02:00,2014-07-09T11:21:14+02:00,5574
7/9/14,move,walking,2014-07-09T11:21:14+02:00,2014-07-09T11:32:10+02:00,656
7/9/14,place,Place in Darmstadt,2014-07-09T11:32:11+02:00,2014-07-09T11:52:27+02:00,1216
7/9/14,move,walking,2014-07-09T11:52:27+02:00,2014-07-09T12:00:30+02:00,483
7/9/14,place,Place in Darmstadt,2014-07-09T12:00:30+02:00,2014-07-09T14:03:48+02:00,7398
7/9/14,move,walking,2014-07-09T14:03:48+02:00,2014-07-09T14:08:33+02:00,285
7/9/14,place,Place in Darmstadt,2014-07-09T14:08:33+02:00,2014-07-09T15:36:45+02:00,5292
7/9/14,move,walking,2014-07-09T15:36:45+02:00,2014-07-09T15:40:26+02:00,221
7/9/14,place,Place in Darmstadt,2014-07-09T15:40:26+02:00,2014-07-09T21:45:43+02:00,21917
7/9/14,move,walking,2014-07-09T21:45:43+02:00,2014-07-09T21:49:45+02:00,242
7/9/14,place,Place in Darmstadt,2014-07-09T21:49:46+02:00,2014-07-10T00:00:00+02:00,7814
7/10/14,place,Place in Darmstadt,2014-07-10T00:00:00+02:00,2014-07-10T00:46:20+02:00,2780
7/10/14,move,walking,2014-07-10T00:46:20+02:00,2014-07-10T00:49:56+02:00,216
7/10/14,place,Place in Darmstadt,2014-07-10T00:49:56+02:00,2014-07-10T10:18:23+02:00,34107
7/10/14,move,walking,2014-07-10T10:18:23+02:00,2014-07-10T10:23:11+02:00,288
7/10/14,move,transport,2014-07-10T10:23:11+02:00,2014-07-10T10:26:41+02:00,210
7/10/14,move,walking,2014-07-10T10:26:41+02:00,2014-07-10T10:33:19+02:00,398
7/10/14,place,Place in TU Darmstadt / S1,2014-07-10T10:33:19+02:00,2014-07-10T10:55:18+02:00,1319
7/10/14,move,walking,2014-07-10T10:55:18+02:00,2014-07-10T10:59:34+02:00,256
7/10/14,move,transport,2014-07-10T10:59:34+02:00,2014-07-10T11:04:59+02:00,325
7/10/14,move,walking,2014-07-10T11:04:58+02:00,2014-07-10T11:10:03+02:00,305
